周次,暱稱,旗幟戰,地下水道,公會城每周,本周是否達成,近兩周是否達成,異動與否,等級,職業,圖片
2023-04-24,Blazing痕,800.0,,1.0,達成,,,289,主教,https://open.api.nexon.com/static/maplestorytw/character/look/BOCHGFEKBPDDJLCFKOPKHFCOPIHALIHHNBBEHPDCIHGHBPOGGFBEHIDPHEKDJNJOBKHKJIMMENFFKHKNJPIKPFEPLPJINGHCNNPNKBCKJMLCEKGKCDEPMJJPCGFOMPPKKPPJKMKJPPCPKPEJLBKPAJDFNOLBJAJAFGOLCFLFCAEFHKBBGCEAGADNODMOANMINGELEBPCMCFBONMDBIHJJPKNNOHCECFIODDHHNLJPDPMMGAMECIGFIBGLBLCLLCM
2023-04-24,ChrisSha,,,1.0,達成,,,0,夜使者,
2023-04-24,Courageous建,,,1.0,達成,,,281,黑騎士,https://open.api.nexon.com/static/maplestorytw/character/look/GLEPEMKJPPANPGFDBJECOANEBLBLFMBKDBOIELLPBBIJHIPALAPEKBCDOBMMHDKAADIHOKIKPADONABOOHKJMKNLFPLFJNFKPNFNLMKNFJHLOPJFIKFCFPKMAIHKJJCBCPHNOHJNNHODFGGILGIFOEHDJPFAGAFMIGFAPPEDNOAFAPHFLGDEDNGFAMCEKMJBGICCOGLHBOKFHDECDECNPBIOPAJOCHCENNHDLFGCFACCOLMMILDEFFLFPMKJANKE
2023-04-24,Dream峰玥,,1786.0,,達成,,,0,龍魔導士,
2023-04-24,Eternal星沁o,800.0,10838.0,1.0,達成,,,297,夜光,https://open.api.nexon.com/static/maplestorytw/character/look/GDHKJLOBJIACLHMOHFOGAHIMFIDFIAFEELCEINLAAHHGFDILJMGPMIHOEGLDMFNELBFCGLEDBADKEOAMFEJKADLCNJELLGKNCHOCPNOCCOKPCHNOHDJPBBBPDCMAFBBPNICCDCIBCCFFFEGNGCCGFEDPJBDGFIIIMBNKGFCBAAJGKMJOHCBJPPEOACEJLLBNKMDHKFGEFHEJJHPCFPGMLDPAKDJEMFCANKIABHLEAEJPLOFMMNGCIJINOFFONAFD
2023-04-24,Eternal緋戀,,,,未達成,,,0,暗影神偷,
2023-04-24,Libra獄,800.0,14940.0,1.0,達成,,,298,黑騎士,https://open.api.nexon.com/static/maplestorytw/character/look/HDAGFCFJFPMIECJKHKNGMBDFNIJPFIPAHPFNPEDAKHNFDLMNJEJAOFPLDGGBFLCNJGAOFJKICAHIBCLKKBNFILBLELPCFPFJOAEOLIEOHLCDJGFOCHEMDDMKADAONMFABCAKBPLKMADCKINOOBHLEPMELAAIMFOCEHIJFNOALOMMEFDBAIAGDGKLNEOGEPIKJEIIPGECKPMNLELBHIEAOPBCAMCAMOOAOOOIPEHPGFCGHCINGHDHDJDFPCHDDNLD
2023-04-24,Libra獄獄,1000.0,,,達成,,,260,阿戴爾,https://open.api.nexon.com/static/maplestorytw/character/look/MGKBDFOGHFDGCMLJGPJDGGKKBLCHJGGPEKHBFAJKKGOCPMJJLNBLDDOEONJGEMOPBOOJLGIGDJEJNCKKPIFNNJCGGPBHAPKHOELADAOEMFLOGMHJCLLPDLEBMKLKOGJNKGIFMAMGCEIMKCAGOHLDMLINOMDGPKOGFDFHMMHKNLCHIGANJPHPEJGAIGOJPBMNEMJKNFEJFBINDOFDFNHEGJIMEEPABLOGAGKKCGLDNEEPINGFBCJJIOKILBIPIJGH
2023-04-24,Libra菈菈,800.0,,,達成,,,260,菈菈,https://open.api.nexon.com/static/maplestorytw/character/look/LGNNAHCGGMEBFKEPJFNJBHNDFIFGINAEHPJGKMDNPNGPAFGGHNBANJKDLAKOAJJNHDPGBBNNPHNOCDDPJONPKFAFIEKFMNHGBKOOPJINJCHBJOHICKOKGNIFJCNMDGKHFGNJKPPODIGDEGBIHGCGNBCIGJFANIHLMFFJIMCJJJBDGICKKGNGFIMKNDCGGLBBALCCEDILDKDEOBMEACDKFLGBDAFGLCBPMLKLDOMAMNNPFCBHCLNEOEIOEGEKCGEJ
2023-04-24,MMichan,100.0,,,達成,,,0,卡蒂娜,
